dataset,arch,spec_key,op_code,use_mc,mc_M,tp,tn,fp,fn,correct,n_videos,accuracy,recall,specificity,mc_applied_windows,total_windows,mc_applied_ratio
caucafall,TCN,caucafall_tcn,OP-1,False,10,12,2,10,0,14,24,0.5833333333333334,1.0,0.16666666666666666,0,677,0.0
caucafall,TCN,caucafall_tcn,OP-1,True,10,12,2,10,0,14,24,0.5833333333333334,1.0,0.16666666666666666,61,677,0.09010339734121123
caucafall,TCN,caucafall_tcn,OP-2,False,10,3,10,2,9,13,24,0.5416666666666666,0.25,0.8333333333333334,0,677,0.0
caucafall,TCN,caucafall_tcn,OP-2,True,10,3,10,2,9,13,24,0.5416666666666666,0.25,0.8333333333333334,223,677,0.3293943870014771
caucafall,TCN,caucafall_tcn,OP-3,False,10,3,10,2,9,13,24,0.5416666666666666,0.25,0.8333333333333334,0,677,0.0
caucafall,TCN,caucafall_tcn,OP-3,True,10,3,10,2,9,13,24,0.5416666666666666,0.25,0.8333333333333334,158,677,0.23338257016248154
caucafall,GCN,caucafall_gcn,OP-1,False,10,12,0,12,0,12,24,0.5,1.0,0.0,0,677,0.0
caucafall,GCN,caucafall_gcn,OP-1,True,10,12,0,12,0,12,24,0.5,1.0,0.0,25,677,0.03692762186115214
caucafall,GCN,caucafall_gcn,OP-2,False,10,11,7,5,1,18,24,0.75,0.9166666666666666,0.5833333333333334,0,677,0.0
caucafall,GCN,caucafall_gcn,OP-2,True,10,12,2,10,0,14,24,0.5833333333333334,1.0,0.16666666666666666,605,677,0.8936484490398818
caucafall,GCN,caucafall_gcn,OP-3,False,10,1,12,0,11,13,24,0.5416666666666666,0.08333333333333333,1.0,0,677,0.0
caucafall,GCN,caucafall_gcn,OP-3,True,10,1,12,0,11,13,24,0.5416666666666666,0.08333333333333333,1.0,675,677,0.9970457902511078
le2i,TCN,le2i_tcn,OP-1,False,10,9,8,4,3,17,24,0.7083333333333334,0.75,0.6666666666666666,0,677,0.0
le2i,TCN,le2i_tcn,OP-1,True,10,9,8,4,3,17,24,0.7083333333333334,0.75,0.6666666666666666,45,677,0.06646971935007386
le2i,TCN,le2i_tcn,OP-2,False,10,7,9,3,5,16,24,0.6666666666666666,0.5833333333333334,0.75,0,677,0.0
le2i,TCN,le2i_tcn,OP-2,True,10,7,9,3,5,16,24,0.6666666666666666,0.5833333333333334,0.75,41,677,0.060561299852289516
le2i,TCN,le2i_tcn,OP-3,False,10,6,12,0,6,18,24,0.75,0.5,1.0,0,677,0.0
le2i,TCN,le2i_tcn,OP-3,True,10,6,12,0,6,18,24,0.75,0.5,1.0,36,677,0.053175775480059084
le2i,GCN,le2i_gcn,OP-1,False,10,12,5,7,0,17,24,0.7083333333333334,1.0,0.4166666666666667,0,677,0.0
le2i,GCN,le2i_gcn,OP-1,True,10,12,5,7,0,17,24,0.7083333333333334,1.0,0.4166666666666667,50,677,0.07385524372230429
le2i,GCN,le2i_gcn,OP-2,False,10,11,6,6,1,17,24,0.7083333333333334,0.9166666666666666,0.5,0,677,0.0
le2i,GCN,le2i_gcn,OP-2,True,10,11,6,6,1,17,24,0.7083333333333334,0.9166666666666666,0.5,44,677,0.06499261447562776
le2i,GCN,le2i_gcn,OP-3,False,10,6,8,4,6,14,24,0.5833333333333334,0.5,0.6666666666666666,0,677,0.0
le2i,GCN,le2i_gcn,OP-3,True,10,6,7,5,6,13,24,0.5416666666666666,0.5,0.5833333333333334,53,677,0.07828655834564253
