dataset,arch,spec_key,op_code,use_mc,mc_M,tp,tn,fp,fn,correct,n_videos,accuracy,recall,specificity
caucafall,TCN,caucafall_tcn,OP-1,False,10,12,0,12,0,12,24,0.5,1.0,0.0
caucafall,TCN,caucafall_tcn,OP-1,True,10,12,0,12,0,12,24,0.5,1.0,0.0
caucafall,TCN,caucafall_tcn,OP-2,False,10,11,12,0,1,23,24,0.9583333333333334,0.9166666666666666,1.0
caucafall,TCN,caucafall_tcn,OP-2,True,10,11,12,0,1,23,24,0.9583333333333334,0.9166666666666666,1.0
caucafall,TCN,caucafall_tcn,OP-3,False,10,11,10,2,1,21,24,0.875,0.9166666666666666,0.8333333333333334
caucafall,TCN,caucafall_tcn,OP-3,True,10,11,10,2,1,21,24,0.875,0.9166666666666666,0.8333333333333334
caucafall,GCN,caucafall_gcn,OP-1,False,10,9,6,6,3,15,24,0.625,0.75,0.5
caucafall,GCN,caucafall_gcn,OP-1,True,10,9,6,6,3,15,24,0.625,0.75,0.5
caucafall,GCN,caucafall_gcn,OP-2,False,10,8,9,3,4,17,24,0.7083333333333334,0.6666666666666666,0.75
caucafall,GCN,caucafall_gcn,OP-2,True,10,8,9,3,4,17,24,0.7083333333333334,0.6666666666666666,0.75
caucafall,GCN,caucafall_gcn,OP-3,False,10,2,12,0,10,14,24,0.5833333333333334,0.16666666666666666,1.0
caucafall,GCN,caucafall_gcn,OP-3,True,10,2,12,0,10,14,24,0.5833333333333334,0.16666666666666666,1.0
le2i,TCN,le2i_tcn,OP-1,False,10,5,12,0,7,17,24,0.7083333333333334,0.4166666666666667,1.0
le2i,TCN,le2i_tcn,OP-1,True,10,5,12,0,7,17,24,0.7083333333333334,0.4166666666666667,1.0
le2i,TCN,le2i_tcn,OP-2,False,10,5,12,0,7,17,24,0.7083333333333334,0.4166666666666667,1.0
le2i,TCN,le2i_tcn,OP-2,True,10,5,12,0,7,17,24,0.7083333333333334,0.4166666666666667,1.0
le2i,TCN,le2i_tcn,OP-3,False,10,5,12,0,7,17,24,0.7083333333333334,0.4166666666666667,1.0
le2i,TCN,le2i_tcn,OP-3,True,10,5,12,0,7,17,24,0.7083333333333334,0.4166666666666667,1.0
le2i,GCN,le2i_gcn,OP-1,False,10,5,9,3,7,14,24,0.5833333333333334,0.4166666666666667,0.75
le2i,GCN,le2i_gcn,OP-1,True,10,5,9,3,7,14,24,0.5833333333333334,0.4166666666666667,0.75
le2i,GCN,le2i_gcn,OP-2,False,10,5,9,3,7,14,24,0.5833333333333334,0.4166666666666667,0.75
le2i,GCN,le2i_gcn,OP-2,True,10,5,9,3,7,14,24,0.5833333333333334,0.4166666666666667,0.75
le2i,GCN,le2i_gcn,OP-3,False,10,5,8,4,7,13,24,0.5416666666666666,0.4166666666666667,0.6666666666666666
le2i,GCN,le2i_gcn,OP-3,True,10,5,8,4,7,13,24,0.5416666666666666,0.4166666666666667,0.6666666666666666
