arch,dataset,op,n,f1_mean,f1_std,f1_ci95,recall_mean,recall_std,recall_ci95,precision_mean,precision_std,precision_ci95,fa24h_mean,fa24h_std,fa24h_ci95,tau_high_mean,tau_high_std,tau_high_ci95,tau_low_mean,tau_low_std,tau_low_ci95
gcn,caucafall,op1,5,0.5873015873015874,0.1976174539363291,0.17321933573248957,0.44000000000000006,0.21908902300206642,0.19203999583420112,1.0,0.0,0.0,0.0,0.0,0.0,0.8259999632835389,0.08590693326243513,0.07530074706523035,0.6442799687385559,0.06700742499899516,0.058734597659629004
gcn,caucafall,op2,5,0.5873015873015874,0.1976174539363291,0.17321933573248957,0.44000000000000006,0.21908902300206642,0.19203999583420112,1.0,0.0,0.0,0.0,0.0,0.0,0.8259999632835389,0.08590693326243513,0.07530074706523035,0.6442799687385559,0.06700742499899516,0.058734597659629004
gcn,caucafall,op3,5,0.5873015873015874,0.1976174539363291,0.17321933573248957,0.44000000000000006,0.21908902300206642,0.19203999583420112,1.0,0.0,0.0,0.0,0.0,0.0,0.8259999632835389,0.08590693326243513,0.07530074706523035,0.6442799687385559,0.06700742499899516,0.058734597659629004
gcn,le2i,op1,5,0.75,0.0,0.0,0.6666666666666666,0.0,0.0,0.8571428571428571,0.0,0.0,581.5843243262096,0.0,0.0,0.537999975681305,0.058051695016434285,0.05088455421620647,0.41963998079299925,0.045280327133631004,0.03968995668957703
gcn,le2i,op2,5,0.75,0.0,0.0,0.6666666666666666,0.0,0.0,0.8571428571428571,0.0,0.0,581.5843243262096,0.0,0.0,0.537999975681305,0.058051695016434285,0.05088455421620647,0.41963998079299925,0.045280327133631004,0.03968995668957703
gcn,le2i,op3,5,0.6369047619047619,0.07482026839271748,0.06558285683859091,0.5333333333333334,0.09296222517045284,0.08148498308974361,0.800952380952381,0.0541267513843155,0.04744418943465163,697.9011891914516,260.09241676833784,227.98105513587416,0.5819999873638153,0.05403703182299419,0.04736554677174548,0.453959983587265,0.04214888432557065,0.03694512604687853
tcn,caucafall,op1,5,0.861111111111111,0.06211299937499424,0.05444444444444452,0.76,0.08944271909999163,0.07840000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.865999948978424,0.005477220351562305,0.004800995317264735,0.6754799604415893,0.004272226650729242,0.0037447717688761993
tcn,caucafall,op2,5,0.861111111111111,0.06211299937499424,0.05444444444444452,0.76,0.08944271909999163,0.07840000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.865999948978424,0.005477220351562305,0.004800995317264735,0.6754799604415893,0.004272226650729242,0.0037447717688761993
tcn,caucafall,op3,5,0.861111111111111,0.06211299937499424,0.05444444444444452,0.76,0.08944271909999163,0.07840000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.865999948978424,0.005477220351562305,0.004800995317264735,0.6754799604415893,0.004272226650729242,0.0037447717688761993
tcn,le2i,op1,5,0.823529411764706,0.0,0.0,0.7777777777777778,0.0,0.0,0.875,0.0,0.0,581.5843243262096,0.0,0.0,0.5879999756813049,0.0216794627135123,0.019002886918489538,0.45863999128341676,0.0169099849855886,0.014822255363100549
tcn,le2i,op2,5,0.823529411764706,0.0,0.0,0.7777777777777778,0.0,0.0,0.875,0.0,0.0,581.5843243262096,0.0,0.0,0.5879999756813049,0.0216794627135123,0.019002886918489538,0.45863999128341676,0.0169099849855886,0.014822255363100549
tcn,le2i,op3,5,0.44571428571428573,0.15927841822567068,0.13961368923648648,0.3555555555555555,0.14487116456005888,0.12698517459885322,0.62,0.18196458751941574,0.15949899337892037,1163.168648652419,712.2924185002679,624.3518329087365,0.6959999680519104,0.036469159696841925,0.03196662790445819,0.5428799748420715,0.02844593913737929,0.02493396500924071
