video_id,splits,n_windows,n_pos,n_neg,low_quality_windows,valid_frac_mean,valid_frac_min,avg_conf_mean,frame_valid_min,low_frame_frac_50_mean
Subject.1/Fall backwards,train,7,6,1,0,0.8797799519130162,0.8068181872367859,0.7586322511945452,0.6666666666666666,0.0
Subject.1/Fall forward,train,12,5,7,0,0.9553872048854828,0.8661616444587708,0.8510607928037643,0.6666666666666666,0.0
Subject.1/Fall left,train,4,4,0,0,0.8470643758773804,0.8409090638160706,0.745877668261528,0.6060606060606061,0.0
Subject.1/Fall right,train,6,5,1,0,0.7538930873076121,0.6553030014038086,0.6384625732898712,0.6363636363636364,0.0
Subject.1/Fall sitting,train,12,7,5,0,0.9128787815570831,0.8219696879386902,0.7636551856994629,0.5454545454545454,0.0
Subject.1/Hop,train,12,0,12,0,0.8743160714705785,0.7297979593276978,0.7986671378215154,0.6363636363636364,0.0
Subject.1/Kneel,train,15,0,15,0,0.8556818207105,0.7847222089767456,0.7530660231908163,0.7272727272727273,0.0
Subject.1/Pick up object,train,6,0,6,0,0.9520202080408732,0.9280303120613098,0.799253930648168,0.7575757575757576,0.0
Subject.1/Sit down,train,12,0,12,0,0.7477377901474634,0.6742424368858337,0.6392386307319006,0.48484848484848486,0.006944444444444444
Subject.1/Walk,train,17,0,17,0,0.8189245357232935,0.689393937587738,0.7044995602439431,0.5151515151515151,0.0
Subject.10/Fall backwards,train,19,16,3,0,0.9108851646122179,0.8125,0.7885674332317553,0.6666666666666666,0.0
Subject.10/Fall forward,train,17,16,1,0,0.921939986593583,0.872474730014801,0.7453884692753062,0.5757575757575758,0.0
Subject.10/Fall left,train,14,13,1,0,0.7943722903728485,0.7026515007019043,0.619300114256995,0.5151515151515151,0.0
Subject.10/Fall right,train,13,10,3,0,0.8799048203688401,0.8270202279090881,0.7250955242377061,0.6060606060606061,0.0
Subject.10/Fall sitting,train,21,18,3,0,0.913750600247156,0.754419207572937,0.7698246240615845,0.5151515151515151,0.0
Subject.10/Hop,train,17,0,17,0,0.8787507449879366,0.7260100841522217,0.7680260223500869,0.5151515151515151,0.0
