video_id,splits,n_windows,n_pos,n_neg,low_quality_windows,valid_frac_mean,valid_frac_min,avg_conf_mean,frame_valid_min,low_frame_frac_50_mean,ctr_s2025_recall,ctr_s2025_delay_s,ctr_s2025_false_alerts,ctr_s2025_alert_frac,ctr_s1337_recall,ctr_s1337_delay_s,ctr_s1337_false_alerts,ctr_s1337_alert_frac,ctr_s17_recall,ctr_s17_delay_s,ctr_s17_false_alerts,ctr_s17_alert_frac,ctr_s33724876_recall,ctr_s33724876_delay_s,ctr_s33724876_false_alerts,ctr_s33724876_alert_frac,ctr_s42_recall,ctr_s42_delay_s,ctr_s42_false_alerts,ctr_s42_alert_frac,tcn_rtA_recall,tcn_rtA_delay_s,tcn_rtA_false_alerts,tcn_rtA_alert_frac,tcn_rtD_recall,tcn_rtD_delay_s,tcn_rtD_false_alerts,tcn_rtD_alert_frac
Subject.1/Fall backwards,train,7,6,1,0,0.8853715743337359,0.8207070827484131,0.7485504235540118,0.7878787878787878,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Fall forward,train,12,5,7,6,0.735479798167944,0.1666666716337204,0.5108870423088471,0.0,0.23958333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Fall left,train,4,4,0,1,0.8701073229312897,0.7089646458625793,0.6361246928572655,0.0,0.052083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Fall right,train,6,5,1,1,0.8189183374245962,0.683080792427063,0.6820457875728607,0.0,0.003472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Fall sitting,train,12,7,5,1,0.9217697779337565,0.8604797720909119,0.7615991532802582,0.0,0.001736111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Hop,train,12,0,12,0,0.8950441926717758,0.7847222089767456,0.7592619160811106,0.7272727272727273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Kneel,train,15,0,15,0,0.7838804682095846,0.7083333134651184,0.6838635802268982,0.6060606060606061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Pick up object,train,6,0,6,2,0.908143937587738,0.6016414165496826,0.7197743753592173,0.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Sit down,train,12,0,12,0,0.7737268557151159,0.7272727489471436,0.6423417081435522,0.696969696969697,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.1/Walk,train,17,0,17,1,0.812797090586494,0.6477272510528564,0.6561979616389555,0.0,0.006127450980392157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Fall backwards,train,19,16,3,1,0.941420787259152,0.7140151262283325,0.8362043656800923,0.0,0.003289473684210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Fall forward,train,17,16,1,5,0.8733660122927498,0.5410353541374207,0.6572472488178926,0.0,0.06127450980392156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Fall left,train,14,13,1,0,0.8170544760567802,0.7121211886405945,0.7079143311296191,0.696969696969697,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject.10/Fall right,train,13,10,3,0,0.8607226059986994,0.7575757503509521,0.687516239973215,0.6666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
