video_id,true_label,kind,ctr_gcn_correct_seeds,ctr_gcn_error_seeds,ctr_gcn_statuses,ctr_gcn_predicted_fall_seeds,ctr_gcn_mean_max_p,ctr_gcn_max_max_p,ctr_gcn_mean_first_event_start_s,tcn_correct_seeds,tcn_error_seeds,tcn_statuses,tcn_predicted_fall_seeds,tcn_mean_max_p,tcn_max_max_p,tcn_mean_first_event_start_s,ctr_class,cross_model_note
corridor__corridor_back_1,1,fall,0,5,42:FN 1337:FN 17:FN 2025:FN 33724876:FN,0,0.22297874987125396,0.527228832244873,,4,1,42:TP 1337:FN 17:TP 2025:TP 33724876:TP,4,0.9872939109802246,0.9998855590820312,10.166666507720947,ctr_stable_fn,ctr_more_fn
corridor__corridor_back_2,1,fall,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9998007774353027,0.9999997615814209,15.166666793823243,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9999995470046997,1.0,8.766666507720947,ctr_stable_correct,
corridor__corridor_front_1,1,fall,3,2,42:TP 1337:FN 17:TP 2025:TP 33724876:FN,3,0.7602794289588928,0.9800063967704773,2.6333332856496177,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9865215301513672,0.9995459914207458,2.366666555404663,ctr_seed_sensitive,ctr_more_fn
corridor__corridor_front_2,1,fall,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9998778462409973,0.9999985694885254,13.246666526794433,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9999990463256836,1.0,8.606666469573975,ctr_stable_correct,
corridor__corridor_side_1,1,fall,4,1,42:TP 1337:FN 17:TP 2025:TP 33724876:TP,4,0.8132523775100708,0.9918966889381409,4.76666647195816,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9595528841018677,0.9999563694000244,7.326666784286499,ctr_seed_sensitive,ctr_more_fn
corridor__corridor_side_2,1,fall,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9996139883995057,0.9999864101409912,14.366666793823242,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9999970674514771,1.0,9.56666669845581,ctr_stable_correct,
corridor_adl__corridor_bend_1,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.05807436336763203,0.111137256026268,,4,1,42:TN 1337:FP 17:TN 2025:TN 33724876:TN,1,0.19225661214441062,0.6433760523796082,2.366666555404663,ctr_stable_correct,tcn_only_fp_ctr_all_tn
corridor_adl__corridor_bend_2,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.043642467656172815,0.0794372484087944,,3,2,42:TN 1337:FP 17:TN 2025:TN 33724876:FP,2,0.3880513790994883,0.9231625199317932,2.366666555404663,ctr_stable_correct,tcn_only_fp_ctr_all_tn
corridor_adl__corridor_squat_1,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.08512207537423819,0.317184716463089,,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.45022639632225037,0.8591096997261047,,ctr_stable_correct,
corridor_adl__corridor_squat_2,0,nonfall,0,5,42:FP 1337:FP 17:FP 2025:FP 33724876:FP,5,0.9958236575126648,0.9999994039535522,15.006666946411134,0,5,42:FP 1337:FP 17:FP 2025:FP 33724876:FP,5,0.9999989748001099,1.0,9.246666622161865,ctr_stable_fp,both_error_some_seeds
corridor_adl__corridor_walk_1,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.20799661595374347,0.774236798286438,,3,2,42:TN 1337:FP 17:TN 2025:TN 33724876:FP,2,0.48446428775787354,0.9743647575378418,2.366666555404663,ctr_stable_correct,tcn_only_fp_ctr_all_tn
corridor_adl__corridor_walk_2,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.21510507613420488,0.5138336420059204,,3,2,42:TN 1337:FP 17:TN 2025:TN 33724876:FP,2,0.43416525050997734,0.9430537223815918,2.366666555404663,ctr_stable_correct,tcn_only_fp_ctr_all_tn
kitchen__kitchen_back_1,1,fall,4,1,42:TP 1337:FN 17:TP 2025:TP 33724876:TP,4,0.7947539046406746,0.9994402527809143,2.366666555404663,2,3,42:FN 1337:TP 17:FN 2025:FN 33724876:TP,2,0.636991360783577,0.9870916604995728,2.366666555404663,ctr_seed_sensitive,both_error_some_seeds
kitchen__kitchen_back_2,1,fall,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9998802900314331,0.9999986886978149,19.48666648864746,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9999962091445923,1.0,18.84666633605957,ctr_stable_correct,
kitchen__kitchen_front_1,1,fall,2,3,42:TP 1337:FN 17:FN 2025:FN 33724876:TP,2,0.5468262732028961,0.8406927585601807,3.966666579246521,3,2,42:TP 1337:FN 17:TP 2025:FN 33724876:TP,3,0.7383764266967774,0.9842368960380554,3.433333237965902,ctr_seed_sensitive,ctr_more_fn
kitchen__kitchen_front_2,1,fall,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9997894883155822,0.999941349029541,19.326666259765624,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9999949693679809,1.0,18.046666145324707,ctr_stable_correct,
kitchen__kitchen_side_1,1,fall,4,1,42:TP 1337:FN 17:TP 2025:TP 33724876:TP,4,0.914818274974823,0.999996542930603,6.766666650772095,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9999951839447021,1.0,5.08666672706604,ctr_seed_sensitive,ctr_more_fn
kitchen__kitchen_side_2,1,fall,1,4,42:TP 1337:FN 17:FN 2025:FN 33724876:FN,1,0.21109023001044988,0.8561303019523621,2.366666555404663,5,0,42:TP 1337:TP 17:TP 2025:TP 33724876:TP,5,0.9779431700706482,0.9999707937240601,2.846666622161865,ctr_seed_sensitive,ctr_more_fn
kitchen_adl__kitchen_lie_1,0,nonfall,2,3,42:TN 1337:TN 17:FP 2025:FP 33724876:FP,3,0.674148069228977,0.9682419300079346,21.566666920979817,0,5,42:FP 1337:FP 17:FP 2025:FP 33724876:FP,5,0.9999987125396729,1.0,12.926666927337646,ctr_seed_sensitive,tcn_more_fp
kitchen_adl__kitchen_lie_2,0,nonfall,1,4,42:FP 1337:TN 17:FP 2025:FP 33724876:FP,4,0.9390601992607117,0.9995359182357788,10.766666889190674,0,5,42:FP 1337:FP 17:FP 2025:FP 33724876:FP,5,0.9997527122497558,1.0,10.366666793823242,ctr_seed_sensitive,tcn_more_fp
kitchen_adl__kitchen_sit_1,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.18389773285016417,0.47743818163871765,,3,2,42:TN 1337:FP 17:TN 2025:TN 33724876:FP,2,0.9015982270240783,0.9991531372070312,2.366666555404663,ctr_stable_correct,tcn_only_fp_ctr_all_tn
kitchen_adl__kitchen_sit_2,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.2612317530438304,0.704460859298706,,3,2,42:TN 1337:FP 17:TN 2025:TN 33724876:FP,2,0.5403404399752617,0.9743838310241699,2.366666555404663,ctr_stable_correct,tcn_only_fp_ctr_all_tn
kitchen_adl__kitchen_sit_bend_1,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.4155724927783012,0.9762107133865356,,2,3,42:TN 1337:FP 17:TN 2025:FP 33724876:FP,3,0.9383828163146972,0.9996558427810669,16.49999984105428,ctr_stable_correct,tcn_only_fp_ctr_all_tn
kitchen_adl__kitchen_walk_1,0,nonfall,5,0,42:TN 1337:TN 17:TN 2025:TN 33724876:TN,0,0.14211615845561026,0.5186061859130859,,3,2,42:FP 1337:TN 17:TN 2025:TN 33724876:FP,2,0.9186885595321655,0.9932014346122742,6.766666650772095,ctr_stable_correct,tcn_only_fp_ctr_all_tn
