family,fuse,seed,val_epoch,val_ap,val_auc,val_f1,val_precision,val_recall,val_fpr,val_thr,best_metric,model_two_stream,model_fuse,test_ap,test_auc,selected_tau_high,selected_tau_low,test_op2_precision,test_op2_recall,test_op2_f1,test_op2_fa24h,test_op2_mean_delay_s,custom_correct,custom_n,custom_accuracy,custom_tp,custom_tn,custom_fp,custom_fn
ctr_gcn_c2_bbox_bone_twostream_concat,concat,42,37,0.9972558220744225,0.9980059820538384,0.9739130434782608,1.0,0.9491525423728814,0.0,0.09999999403953552,0.9972558220744225,True,concat,0.9992674588865995,0.9994283536585366,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.7739130020141602,16,24,0.6666666666666666,7,9,3,5
ctr_gcn_c2_bbox_bone_twostream_concat,concat,1337,53,0.9974988572094399,0.9982053838484547,0.9739130434782608,1.0,0.9491525423728814,0.0,0.19999997317790985,0.9974988572094399,True,concat,0.9977748057911555,0.9982850609756098,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.878260850906372,20,24,0.8333333333333334,10,10,2,2
ctr_gcn_c2_bbox_bone_twostream_concat,concat,17,50,0.9969985899936458,0.9978065802592224,0.9747899159663865,0.9666666666666667,0.9830508474576272,0.023529411764705882,0.08999998867511749,0.9969985899936458,True,concat,0.9978052853837306,0.9982850609756098,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.5652173995971679,17,24,0.7083333333333334,8,9,3,4
ctr_gcn_c2_bbox_bone_twostream_concat,concat,2025,42,1.0,1.0,1.0,1.0,1.0,0.0,0.28999996185302734,1.0,True,concat,0.9997596153846153,0.9998094512195121,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.669565200805664,18,24,0.75,9,9,3,3
ctr_gcn_c2_bbox_bone_twostream_concat,concat,33724876,75,0.9979762205919556,0.9984047856430708,0.9914529914529915,1.0,0.9830508474576272,0.0,0.07999999821186066,0.9979762205919556,True,concat,0.9987823425244671,0.999047256097561,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.7739130020141602,16,24,0.6666666666666666,7,9,3,5
ctr_gcn_c2_bbox_bone_twostream_sum,sum,42,55,1.0,1.0,0.9914529914529915,1.0,0.9830508474576272,0.0,0.05000000074505806,1.0,True,sum,0.9990343586534993,0.9992378048780488,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.7739130020141602,15,24,0.625,6,9,3,6
ctr_gcn_c2_bbox_bone_twostream_sum,sum,1337,12,0.9982897380078186,0.9988035892323031,0.9833333333333333,0.9672131147540983,1.0,0.023529411764705882,0.06999999284744263,0.9982897380078186,True,sum,0.9987592952165837,0.999047256097561,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.3565217018127442,19,24,0.7916666666666666,10,9,3,2
ctr_gcn_c2_bbox_bone_twostream_sum,sum,17,7,0.9972527022571471,0.9980059820538385,0.9743589743589743,0.9827586206896551,0.9661016949152542,0.011764705882352941,0.09999999403953552,0.9972527022571471,True,sum,0.99803963629963,0.9984756097560975,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,2.504347801208496,18,24,0.75,9,9,3,3
ctr_gcn_c2_bbox_bone_twostream_sum,sum,2025,43,0.9986149079642792,0.9990029910269193,0.9827586206896551,1.0,0.9661016949152542,0.0,0.10999998450279236,0.9986149079642792,True,sum,0.998498878549917,0.9988567073170732,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.66956524848938,19,24,0.7916666666666666,10,9,3,2
ctr_gcn_c2_bbox_bone_twostream_sum,sum,33724876,23,0.9969454872710164,0.9978065802592223,0.9672131147540983,0.9365079365079365,1.0,0.047058823529411764,0.06999999284744263,0.9969454872710164,True,sum,0.9990457459207459,0.9992378048780488,0.4099999666213989,0.3197999596595764,1.0,1.0,1.0,0.0,1.5652173995971679,16,24,0.6666666666666666,7,9,3,5
