model,seed,val_op_tau,test_ap,test_auc,test_op2_f1,test_op2_recall,test_op2_fa24h,test_op2_delay_s,custom_correct,custom_tp,custom_tn,custom_fp,custom_fn,ckpt,ops
ctr,42,0.40999993681907654,0.9947466385486098,0.9959984756097561,0.9090909090909091,1.0,940.9090909090911,1.460869598388672,18,10,8,4,2,outputs\ctr_gcn\caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_s42\best.pt,ops\configs\ops\ctr_gcn_caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_policy_f1_minthr_k2n3_s42.yaml
ctr,1337,0.40999993681907654,0.9946321366757058,0.9956173780487805,1.0,1.0,0.0,1.66956524848938,16,9,7,5,3,outputs\ctr_gcn\caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_s1337\best.pt,ops\configs\ops\ctr_gcn_caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_policy_f1_minthr_k2n3_s1337.yaml
ctr,17,0.40999993681907654,0.9948680278092967,0.9961890243902439,1.0,1.0,0.0,1.7739130020141602,15,6,9,3,6,outputs\ctr_gcn\caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_s17\best.pt,ops\configs\ops\ctr_gcn_caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_policy_f1_minthr_k2n3_s17.yaml
ctr,2025,0.40999993681907654,0.9983706550802138,0.9986661585365854,1.0,1.0,0.0,1.5652173995971679,18,8,10,2,4,outputs\ctr_gcn\caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_s2025\best.pt,ops\configs\ops\ctr_gcn_caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_policy_f1_minthr_k2n3_s2025.yaml
ctr,33724876,0.40999993681907654,0.9944036953043431,0.995045731707317,1.0,1.0,0.0,2.08695650100708,16,6,10,2,6,outputs\ctr_gcn\caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_s33724876\best.pt,ops\configs\ops\ctr_gcn_caucafall_W48S12_c2_bbox_bone_twostream_sum_le2i_pretrain_policy_f1_minthr_k2n3_s33724876.yaml
tcn,42,0.40999993681907654,0.9945263136376403,0.9956173780487805,1.0,1.0,0.0,1.982608699798584,10,10,0,12,2,outputs\caucafall_tcn_W48S12_c2_bbox_le2i_pretrain_s42\best.pt,ops\configs\ops\tcn_caucafall_W48S12_c2_bbox_le2i_pretrain_policy_f1_minthr_k2n3_s42.yaml
tcn,1337,0.40999993681907654,0.9981018646116011,0.9984756097560975,1.0,1.0,0.0,1.982608699798584,13,10,3,9,2,outputs\caucafall_tcn_W48S12_c2_bbox_le2i_pretrain_s1337\best.pt,ops\configs\ops\tcn_caucafall_W48S12_c2_bbox_le2i_pretrain_policy_f1_minthr_k2n3_s1337.yaml
tcn,17,0.40999993681907654,0.9956420365705877,0.9963795731707317,1.0,1.0,0.0,2.1913043022155763,17,9,8,4,3,outputs\caucafall_tcn_W48S12_c2_bbox_le2i_pretrain_s17\best.pt,ops\configs\ops\tcn_caucafall_W48S12_c2_bbox_le2i_pretrain_policy_f1_minthr_k2n3_s17.yaml
tcn,2025,0.40999993681907654,0.9986236129981885,0.9988567073170731,1.0,1.0,0.0,1.7739130973815918,11,10,1,11,2,outputs\caucafall_tcn_W48S12_c2_bbox_le2i_pretrain_s2025\best.pt,ops\configs\ops\tcn_caucafall_W48S12_c2_bbox_le2i_pretrain_policy_f1_minthr_k2n3_s2025.yaml
tcn,33724876,0.40999993681907654,0.9981018646116011,0.9984756097560975,1.0,1.0,0.0,2.2956521987915037,12,9,3,9,3,outputs\caucafall_tcn_W48S12_c2_bbox_le2i_pretrain_s33724876\best.pt,ops\configs\ops\tcn_caucafall_W48S12_c2_bbox_le2i_pretrain_policy_f1_minthr_k2n3_s33724876.yaml
