gate_min_mean_motion_high,val_correct,val_tp,val_tn,val_fp,val_fn,test_correct,test_tp,test_tn,test_fp,test_fn,replay_correct,replay_tp,replay_tn,replay_fp,replay_fn
-1,10,5,5,0,0,10,5,5,0,0,20,12,8,4,0
0.1,10,5,5,0,0,10,5,5,0,0,20,12,8,4,0
0.12,10,5,5,0,0,10,5,5,0,0,21,12,9,3,0
0.14,10,5,5,0,0,10,5,5,0,0,22,12,10,2,0
0.16,10,5,5,0,0,10,5,5,0,0,22,12,10,2,0
0.18,10,5,5,0,0,10,5,5,0,0,23,12,11,1,0
0.2,10,5,5,0,0,10,5,5,0,0,23,12,11,1,0
0.22,10,5,5,0,0,10,5,5,0,0,22,11,11,1,1
0.24,10,5,5,0,0,10,5,5,0,0,21,10,11,1,2
0.26,10,5,5,0,0,10,5,5,0,0,21,10,11,1,2
